feature,mean_shap
is_missing_bureau,0.0011784113
FLAG_DOCUMENT_15,0.0009771488
n_unused_offer,0.0009441849
FLAG_DOCUMENT_5,0.0009392012
pct_loans_default,0.0008876183
is_missing_pos,0.0007617005
AMT_REQ_CREDIT_BUREAU_DAY,0.0007400977
FLAG_CONT_MOBILE,0.00051030016
FLAG_DOCUMENT_9,0.00040859284
ever_prolonged,0.00038425036
ever_early_termination,0.00031793598
EMERGENCYSTATE_MODE,0.00024500326
total_bulan_telat_berat,0.00020837119
avg_rasio_berat,0.00019846222
ever_refused,0.0001852868
is_missing_previous,0.00018077547
FLAG_DOCUMENT_21,0.00010781439
ever_canceled,6.615828e-05
FLAG_DOCUMENT_17,6.391721e-05
is_missing_cc,4.678976e-05
ever_pernah_default,4.440905e-05
AMT_REQ_CREDIT_BUREAU_HOUR,3.9918596e-05
FLAG_DOCUMENT_19,1.8976863e-05
FLAG_MOBIL,0.0
ever_day_overdue,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_20,0.0
